"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"4/26/2017","Reliant Energy","RELIANT ENERGY","19.69","debit","Utilities","Freedom Unlimited","",""
"4/26/2017","Bar & Grill","MONKS BAR AND GRILL","16.87","debit","Fast Food","Sapphire Reserve","",""
"4/25/2017","Sprinkles Cupcakes Inc.","SPRINKLES CUPCAKES 323","4.69","debit","Groceries","Freedom Unlimited","",""
"4/25/2017","Great Dane","THE GREAT DANE PUB AND BR","26.11","debit","Business Services","Sapphire Reserve","",""
"4/21/2017","Sam's Club","SAM'S CLUB 008248 TX DALLAS","33.63","debit","Shopping","XXXXXXXXXX1550","",""
"4/21/2017","Sam's Club","SAM'S CLUB 008248 TX DALLAS","2.70","debit","Shopping","XXXXXXXXXX1550","",""
"4/21/2017","Sam's Club","SAM'S CLUB 008248 TX DALLAS","9.71","debit","Shopping","XXXXXXXXXX1550","",""
"12/16/2015","AT&T","$48.88 ATT*BILL PAYMENT ATT*BILL PAYMENT","48.88","credit","Home Phone","HUYNH V VU","",""
"4/26/2017","Best Western","BEST WESTERN INNTOWNER","1.78","debit","Hotel","Sapphire Reserve","",""
"4/25/2017","Amazon","AMAZON MARKETPLACE SEATTLE WA&lt;br/&gt;Insho Lens Hood Sunshade Anti-","11.94","debit","Shopping","XXXXXXXXXX5324","",""
"4/25/2017","Riot Game","RiotGam*LoL LN7P4AC8XS","10.00","debit","Entertainment","Freedom Unlimited","",""
"4/25/2017","Estilos Salon","ESTILOS SALON","20.00","debit","Personal Care","Freedom Unlimited","",""
"4/24/2017","Wells Fargo Ppd","WELLS FARGO      DDA TO DDAPPD ID: INTFITROCS","4000.00","credit","Income","Personal Checking","",""
"4/24/2017","Amazon","AMAZON.COM AMZN.COM/BILL AMZN.COM/BILLWA","1.00","debit","Shopping","Personal Credit Account","",""
"4/24/2017","Amazon","AMAZON.COM AMZN.COM/BILL AMZN.COM/BILLWA","1.00","debit","Shopping","Personal Credit Account","",""
"4/24/2017","Kroger","KROGER #0509","4.86","debit","Groceries","Freedom","",""
"4/24/2017","Kroger","KROGER #0509","4.99","debit","Groceries","Freedom","",""
"4/23/2017","Cocos Cafe Ii","COCOS CAFE II","11.25","debit","Restaurants","Freedom Unlimited","",""
"4/23/2017","Fresh Market","SQ *FRESH MARKET","5.76","debit","Groceries","Sapphire Reserve","",""
"4/21/2017","Caffe Medici","SQ *CAFFE MEDICI","3.99","debit","Restaurants","Freedom Unlimited","",""
"4/21/2017","Sp Boosted","SP * BOOSTED","1099.00","debit","Uncategorized","Freedom Unlimited","",""
"4/21/2017","Usa Minute Key","USA*MINUTE KEY, INC.","6.50","credit","Credit Card Payment","Freedom Unlimited","",""
"4/21/2017","Usa Minute Key","USA*MINUTE KEY, INC.","6.50","debit","Home Supplies","Freedom Unlimited","",""
"4/21/2017","Chipotle","CHIPOTLE 0092","8.12","debit","Fast Food","Freedom Unlimited","",""
"4/20/2017","Chase Autopay Ppd","CHASE CREDIT CRD AUTOPAYPPD ID: 4760039224","534.64","debit","Financial","Personal Checking","",""
"4/20/2017","Chase Ending In","Payment to Chase card ending in5724","8632.22","debit","Credit Card Payment","Personal Checking","",""
"4/20/2017","Transfer from Personal Checking","Payment Thank You - Web","8632.22","credit","Credit Card Payment","Freedom Unlimited","",""
"4/20/2017","Snack Corner","SQ *SHON'S SNACK CORNER","6.48","debit","Groceries","Freedom Unlimited","",""
"4/20/2017","El Chilito","EL CHILITO TACOS Y C","8.00","debit","Restaurants","Freedom Unlimited","",""
"4/19/2017","USPS","USPS PO 4822220258","1.19","debit","Shipping","Freedom Unlimited","",""
"4/19/2017","Transfer from Personal Checking","AUTOMATIC PAYMENT - THANK","534.64","credit","Credit Card Payment","Sapphire Reserve","",""
"4/19/2017","Southwest Airlines","SOUTHWES    5262101087232","23.00","credit","Air Travel","Sapphire Reserve","",""
"4/18/2017","Intuit TurboTax","INTUIT *TURBOTAX","59.53","debit","Taxes","Freedom Unlimited","",""
"4/18/2017","Account Maintenance Fee","L2G*SERVICE FEE","96.19","debit","Bank Fee","Freedom Unlimited","",""
"4/18/2017","College Boards, The","COLLEGEBOARD*SAT ONLN.","12.00","debit","Business Services","Freedom Unlimited","",""
"4/18/2017","Stripes","STRIPES 0288152200","5.78","debit","Groceries","Freedom Unlimited","",""
"4/18/2017","L G Us","L2G*US TREAS TAX PYMT","3863.00","debit","Taxes","Freedom Unlimited","",""
"4/18/2017","McDonald's","MCDONALD'S F31116","6.69","debit","Fast Food","Sapphire Reserve","",""
"4/18/2017","Southwest Airlines","SOUTHWES    5262101009318","174.98","debit","Air Travel","Sapphire Reserve","",""
"4/17/2017","Hoa Hoa Restaurant","HOA HOA RESTAURANT","7.00","debit","Restaurants","Sapphire Reserve","",""
"4/17/2017","Southwest Airlines","SOUTHWES    5268515307511","275.95","debit","Air Travel","Sapphire Reserve","",""
"4/17/2017","D Pho Crawfish","D Pho & Crawfish","90.00","debit","Restaurants","Sapphire Reserve","",""
"4/17/2017","Southwest Airlines","SOUTHWES    5268515258179","731.88","debit","Air Travel","Sapphire Reserve","",""
"4/17/2017","Time Warner","TWC*TIME WARNER CABLE","41.45","debit","Television","Freedom Unlimited","",""
